"","longitude_left","latitude_left","geometry","datetime_left","index_right","longitude_right","latitude_right","datetime_right"
"2420","76.88188319999999","8.556735399999999","POINT (76.88188319999999 8.556735399999999)","2020-03-05 07:48:59","3586","76.8818792","8.556728099999999","2020-03-11 05:37:49"
"11883","76.88187049999999","8.556732","POINT (76.88187049999999 8.556732)","2020-03-11 08:20:58","3586","76.8818792","8.556728099999999","2020-03-11 05:37:49"
"2118","76.88187529999999","8.556737","POINT (76.88187529999999 8.556737)","2020-03-05 06:00:43","3978","76.8818659","8.5567394","2020-03-12 11:55:30"
"9336","76.8818703","8.5567329","POINT (76.8818703 8.5567329)","2020-03-10 05:37:17","3978","76.8818659","8.5567394","2020-03-12 11:55:30"
"9461","76.8818628","8.5567356","POINT (76.88186279999999 8.5567356)","2020-03-10 06:20:42","3978","76.8818659","8.5567394","2020-03-12 11:55:30"
"9684","76.8818627","8.5567461","POINT (76.8818627 8.5567461)","2020-03-10 07:37:20","3978","76.8818659","8.5567394","2020-03-12 11:55:30"
"9732","76.8818687","8.5567424","POINT (76.8818687 8.556742399999999)","2020-03-10 07:54:07","3978","76.8818659","8.5567394","2020-03-12 11:55:30"
"11773","76.8818709","8.5567431","POINT (76.8818709 8.5567431)","2020-03-11 05:33:13","3978","76.8818659","8.5567394","2020-03-12 11:55:30"
"11793","76.8818746","8.5567408","POINT (76.8818746 8.5567408)","2020-03-11 06:14:03","3978","76.8818659","8.5567394","2020-03-12 11:55:30"
"11883","76.88187049999999","8.556732","POINT (76.88187049999999 8.556732)","2020-03-11 08:20:58","3978","76.8818659","8.5567394","2020-03-12 11:55:30"
"12035","76.8818728","8.556739","POINT (76.8818728 8.556739)","2020-03-11 11:54:00","3978","76.8818659","8.5567394","2020-03-12 11:55:30"
"2124","76.88198919999999","8.5570632","POINT (76.88198919999999 8.5570632)","2020-03-05 06:02:43","175","76.8819838","8.5570562","2020-03-05 05:33:45"
"2130","76.8819857","8.5570633","POINT (76.8819857 8.557063299999999)","2020-03-05 06:04:58","175","76.8819838","8.5570562","2020-03-05 05:33:45"
"9973","76.8819765","8.5570551","POINT (76.88197649999999 8.557055099999999)","2020-03-10 09:05:53","175","76.8819838","8.5570562","2020-03-05 05:33:45"
"10068","76.88198","8.5570492","POINT (76.88198 8.5570492)","2020-03-10 09:36:01","175","76.8819838","8.5570562","2020-03-05 05:33:45"
"10074","76.8819757","8.5570601","POINT (76.8819757 8.557060099999999)","2020-03-10 09:37:57","175","76.8819838","8.5570562","2020-03-05 05:33:45"
"10129","76.8819764","8.557059299999999","POINT (76.8819764 8.557059299999999)","2020-03-10 09:56:53","175","76.8819838","8.5570562","2020-03-05 05:33:45"
"10130","76.8819766","8.557057799999999","POINT (76.8819766 8.557057799999999)","2020-03-10 09:57:09","175","76.8819838","8.5570562","2020-03-05 05:33:45"
"2212","76.8819458","8.5570674","POINT (76.8819458 8.557067399999999)","2020-03-05 06:33:18","4187","76.8819394","8.5570681","2020-03-13 06:52:52"
"2214","76.8819359","8.5570655","POINT (76.8819359 8.5570655)","2020-03-05 06:33:58","4187","76.8819394","8.5570681","2020-03-13 06:52:52"
"9960","76.88194469999999","8.5570639","POINT (76.88194469999999 8.557063899999999)","2020-03-10 09:02:03","4187","76.8819394","8.5570681","2020-03-13 06:52:52"
"9978","76.8819434","8.557068","POINT (76.8819434 8.557067999999999)","2020-03-10 09:07:33","4187","76.8819394","8.5570681","2020-03-13 06:52:52"
"10004","76.8819486","8.557065999999999","POINT (76.8819486 8.557065999999999)","2020-03-10 09:16:38","4187","76.8819394","8.5570681","2020-03-13 06:52:52"
"10011","76.88194039999999","8.557073299999999","POINT (76.88194039999999 8.557073299999999)","2020-03-10 09:19:13","4187","76.8819394","8.5570681","2020-03-13 06:52:52"
"10075","76.881939","8.5570681","POINT (76.881939 8.5570681)","2020-03-10 09:38:16","4187","76.8819394","8.5570681","2020-03-13 06:52:52"
"10077","76.8819479","8.5570708","POINT (76.8819479 8.5570708)","2020-03-10 09:38:57","4187","76.8819394","8.5570681","2020-03-13 06:52:52"
"10095","76.8819434","8.5570732","POINT (76.8819434 8.5570732)","2020-03-10 09:44:53","4187","76.8819394","8.5570681","2020-03-13 06:52:52"
"10102","76.8819479","8.5570717","POINT (76.8819479 8.5570717)","2020-03-10 09:47:28","4187","76.8819394","8.5570681","2020-03-13 06:52:52"
"10109","76.8819426","8.5570623","POINT (76.8819426 8.5570623)","2020-03-10 09:49:48","4187","76.8819394","8.5570681","2020-03-13 06:52:52"
"10165","76.881946","8.5570617","POINT (76.881946 8.5570617)","2020-03-10 10:08:44","4187","76.8819394","8.5570681","2020-03-13 06:52:52"
"2241","76.88160909999999","8.5569163","POINT (76.88160909999999 8.556916299999999)","2020-03-05 06:43:13","4249","76.8816124","8.556918","2020-03-13 10:41:42"
"2258","76.8819355","8.5569176","POINT (76.8819355 8.5569176)","2020-03-05 06:51:33","553","76.881936","8.5569103","2020-03-06 08:25:39"
"2834","76.8819398","8.5569132","POINT (76.8819398 8.5569132)","2020-03-05 12:36:35","553","76.881936","8.5569103","2020-03-06 08:25:39"
"2259","76.8819137","8.5569503","POINT (76.8819137 8.5569503)","2020-03-05 06:51:53","4199","76.8819134","8.5569443","2020-03-13 07:16:11"
"11770","76.8819223","8.556948799999999","POINT (76.8819223 8.556948799999999)","2020-03-11 05:21:27","4199","76.8819134","8.5569443","2020-03-13 07:16:11"
"11865","76.8819133","8.556944","POINT (76.88191329999999 8.556944)","2020-03-11 08:00:32","4199","76.8819134","8.5569443","2020-03-13 07:16:11"
"11931","76.881905","8.5569408","POINT (76.881905 8.5569408)","2020-03-11 10:46:14","4199","76.8819134","8.5569443","2020-03-13 07:16:11"
"2261","76.8819256","8.5569539","POINT (76.8819256 8.5569539)","2020-03-05 06:52:33","3999","76.8819188","8.5569606","2020-03-12 13:31:15"
"2290","76.8819216","8.556966599999999","POINT (76.8819216 8.556966599999999)","2020-03-05 07:03:03","3999","76.8819188","8.5569606","2020-03-12 13:31:15"
"2292","76.8819147","8.556966599999999","POINT (76.8819147 8.556966599999999)","2020-03-05 07:03:43","3999","76.8819188","8.5569606","2020-03-12 13:31:15"
"2261","76.8819256","8.5569539","POINT (76.8819256 8.5569539)","2020-03-05 06:52:33","4192","76.8819259","8.556960499999999","2020-03-13 07:02:02"
"2262","76.8819299","8.5569644","POINT (76.8819299 8.5569644)","2020-03-05 06:52:53","4192","76.8819259","8.556960499999999","2020-03-13 07:02:02"
"2290","76.8819216","8.556966599999999","POINT (76.8819216 8.556966599999999)","2020-03-05 07:03:03","4192","76.8819259","8.556960499999999","2020-03-13 07:02:02"
"2261","76.8819256","8.5569539","POINT (76.8819256 8.5569539)","2020-03-05 06:52:33","4194","76.8819224","8.5569595","2020-03-13 07:06:03"
"2262","76.8819299","8.5569644","POINT (76.8819299 8.5569644)","2020-03-05 06:52:53","4194","76.8819224","8.5569595","2020-03-13 07:06:03"
"2290","76.8819216","8.556966599999999","POINT (76.8819216 8.556966599999999)","2020-03-05 07:03:03","4194","76.8819224","8.5569595","2020-03-13 07:06:03"
"2261","76.8819256","8.5569539","POINT (76.8819256 8.5569539)","2020-03-05 06:52:33","4195","76.8819236","8.5569531","2020-03-13 07:08:05"
"11770","76.8819223","8.556948799999999","POINT (76.8819223 8.556948799999999)","2020-03-11 05:21:27","4195","76.8819236","8.5569531","2020-03-13 07:08:05"
"2261","76.8819256","8.5569539","POINT (76.8819256 8.5569539)","2020-03-05 06:52:33","4197","76.8819264","8.5569454","2020-03-13 07:12:05"
"11770","76.8819223","8.556948799999999","POINT (76.8819223 8.556948799999999)","2020-03-11 05:21:27","4197","76.8819264","8.5569454","2020-03-13 07:12:05"
"2262","76.8819299","8.5569644","POINT (76.8819299 8.5569644)","2020-03-05 06:52:53","4188","76.8819334","8.5569695","2020-03-13 06:54:53"
"2293","76.8819274","8.5569769","POINT (76.8819274 8.5569769)","2020-03-05 07:04:08","4188","76.8819334","8.5569695","2020-03-13 06:54:53"
"2294","76.88193299999999","8.5569753","POINT (76.88193299999999 8.5569753)","2020-03-05 07:04:28","4188","76.8819334","8.5569695","2020-03-13 06:54:53"
"2320","76.8819376","8.5569655","POINT (76.8819376 8.5569655)","2020-03-05 07:14:19","4188","76.8819334","8.5569695","2020-03-13 06:54:53"
"2262","76.8819299","8.5569644","POINT (76.8819299 8.5569644)","2020-03-05 06:52:53","4190","76.8819303","8.5569741","2020-03-13 06:58:55"
"2280","76.8819395","8.5569779","POINT (76.8819395 8.5569779)","2020-03-05 06:59:18","4190","76.8819303","8.5569741","2020-03-13 06:58:55"
"2293","76.8819274","8.5569769","POINT (76.8819274 8.5569769)","2020-03-05 07:04:08","4190","76.8819303","8.5569741","2020-03-13 06:58:55"
"2294","76.88193299999999","8.5569753","POINT (76.88193299999999 8.5569753)","2020-03-05 07:04:28","4190","76.8819303","8.5569741","2020-03-13 06:58:55"
"2263","76.8819623","8.5570301","POINT (76.8819623 8.5570301)","2020-03-05 06:53:13","269","76.8819556","8.5570319","2020-03-05 08:58:58"
"2289","76.8819631","8.55703","POINT (76.88196309999999 8.557029999999999)","2020-03-05 07:02:43","269","76.8819556","8.5570319","2020-03-05 08:58:58"
"10028","76.8819597","8.5570399","POINT (76.8819597 8.557039899999999)","2020-03-10 09:24:07","269","76.8819556","8.5570319","2020-03-05 08:58:58"
"10101","76.8819619","8.5570387","POINT (76.88196189999999 8.5570387)","2020-03-10 09:47:09","269","76.8819556","8.5570319","2020-03-05 08:58:58"
"10128","76.88195549999999","8.557036499999999","POINT (76.88195549999999 8.557036499999999)","2020-03-10 09:56:33","269","76.8819556","8.5570319","2020-03-05 08:58:58"
"2265","76.8819142","8.5569812","POINT (76.8819142 8.556981199999999)","2020-03-05 06:53:53","332","76.8819226","8.5569772","2020-03-05 12:25:03"
"2293","76.8819274","8.5569769","POINT (76.8819274 8.5569769)","2020-03-05 07:04:08","332","76.8819226","8.5569772","2020-03-05 12:25:03"
"2265","76.8819142","8.5569812","POINT (76.8819142 8.556981199999999)","2020-03-05 06:53:53","4193","76.881914","8.55698","2020-03-13 07:04:03"
"2265","76.8819142","8.5569812","POINT (76.8819142 8.556981199999999)","2020-03-05 06:53:53","4205","76.8819226","8.5569772","2020-03-13 07:28:16"
"2293","76.8819274","8.5569769","POINT (76.8819274 8.5569769)","2020-03-05 07:04:08","4205","76.8819226","8.5569772","2020-03-13 07:28:16"
"2266","76.8819446","8.556963999999999","POINT (76.8819446 8.556963999999999)","2020-03-05 06:54:13","554","76.8819451","8.5569739","2020-03-06 08:27:40"
"2269","76.8819481","8.556967199999999","POINT (76.8819481 8.556967199999999)","2020-03-05 06:55:14","554","76.8819451","8.5569739","2020-03-06 08:27:40"
"2271","76.88195","8.5569685","POINT (76.88195 8.5569685)","2020-03-05 06:55:58","554","76.8819451","8.5569739","2020-03-06 08:27:40"
"2280","76.8819395","8.5569779","POINT (76.8819395 8.5569779)","2020-03-05 06:59:18","554","76.8819451","8.5569739","2020-03-06 08:27:40"
"2295","76.8819511","8.556979799999999","POINT (76.88195109999999 8.556979799999999)","2020-03-05 07:04:48","554","76.8819451","8.5569739","2020-03-06 08:27:40"
"2296","76.881946","8.5569785","POINT (76.881946 8.5569785)","2020-03-05 07:05:08","554","76.8819451","8.5569739","2020-03-06 08:27:40"
"2316","76.8819516","8.5569711","POINT (76.88195159999999 8.5569711)","2020-03-05 07:12:59","554","76.8819451","8.5569739","2020-03-06 08:27:40"
"2317","76.8819421","8.556979","POINT (76.8819421 8.556979)","2020-03-05 07:13:20","554","76.8819451","8.5569739","2020-03-06 08:27:40"
"2319","76.88194399999999","8.5569791","POINT (76.88194399999999 8.5569791)","2020-03-05 07:13:59","554","76.8819451","8.5569739","2020-03-06 08:27:40"
"2321","76.8819515","8.5569773","POINT (76.8819515 8.5569773)","2020-03-05 07:14:39","554","76.8819451","8.5569739","2020-03-06 08:27:40"
"2273","76.88193179999999","8.556934499999999","POINT (76.88193179999999 8.556934499999999)","2020-03-05 06:56:38","3998","76.8819355","8.5569363","2020-03-12 13:29:14"
"2286","76.8819395","8.5569443","POINT (76.8819395 8.5569443)","2020-03-05 07:01:43","3998","76.8819355","8.5569363","2020-03-12 13:29:14"
"2318","76.8819377","8.556937099999999","POINT (76.88193769999999 8.556937099999999)","2020-03-05 07:13:39","3998","76.8819355","8.5569363","2020-03-12 13:29:14"
"2322","76.88193679999999","8.5569389","POINT (76.88193679999999 8.5569389)","2020-03-05 07:14:59","3998","76.8819355","8.5569363","2020-03-12 13:29:14"
"2324","76.88193439999999","8.5569357","POINT (76.88193439999999 8.5569357)","2020-03-05 07:15:40","3998","76.8819355","8.5569363","2020-03-12 13:29:14"
"2284","76.8819268","8.556930399999999","POINT (76.8819268 8.556930399999999)","2020-03-05 07:01:03","4202","76.88191909999999","8.5569283","2020-03-13 07:22:13"
"2307","76.88192","8.556936199999999","POINT (76.88191999999999 8.556936199999999)","2020-03-05 07:09:34","4202","76.88191909999999","8.5569283","2020-03-13 07:22:13"
"2310","76.8819242","8.5569242","POINT (76.8819242 8.556924199999999)","2020-03-05 07:10:44","4202","76.88191909999999","8.5569283","2020-03-13 07:22:13"
"2313","76.8819221","8.5569338","POINT (76.8819221 8.556933799999999)","2020-03-05 07:11:55","4202","76.88191909999999","8.5569283","2020-03-13 07:22:13"
"2290","76.8819216","8.556966599999999","POINT (76.8819216 8.556966599999999)","2020-03-05 07:03:03","4191","76.88192269999999","8.556971899999999","2020-03-13 06:59:53"
"2292","76.8819147","8.556966599999999","POINT (76.8819147 8.556966599999999)","2020-03-05 07:03:43","4191","76.88192269999999","8.556971899999999","2020-03-13 06:59:53"
"2293","76.8819274","8.5569769","POINT (76.8819274 8.5569769)","2020-03-05 07:04:08","4191","76.88192269999999","8.556971899999999","2020-03-13 06:59:53"
"2290","76.8819216","8.556966599999999","POINT (76.8819216 8.556966599999999)","2020-03-05 07:03:03","4198","76.8819263","8.5569747","2020-03-13 07:14:10"
